0.000000, 0.000014
0.000100, 0.000014
0.000200, 0.000014
0.000300, 0.000014
0.000400, 0.000013
0.000500, 0.000013
0.000600, 0.000012
0.000700, 0.000011
0.000800, 0.000011
0.000900, 0.000010
0.001000, 0.000009
0.001100, 0.000008
0.001200, 0.000007
0.001300, 0.000006
0.001400, 0.000005
0.001500, 0.000005
0.001600, 0.000004
0.001700, 0.000003
0.001800, 0.000003
0.001900, 0.000002
0.002000, 0.000002
0.002100, 0.000002
0.002200, 0.000001
0.002300, 0.000001
0.002400, 0.000001
0.002500, 0.000001
0.002600, 0.000000
0.002700, 0.000000
0.002800, 0.000000
0.002900, 0.000000
0.003000, 0.000000
0.003100, 0.000000
0.003200, 0.000000
0.003300, 0.000000
0.003400, 0.000000
0.003500, 0.000000
0.003600, 0.000000
0.003700, 0.000000
0.003800, 0.000000
0.003900, 0.000000
0.004000, 0.000000
0.004100, 0.000000
0.004200, 0.000000
0.004300, 0.000000
0.004400, 0.000000
0.004500, 0.000000
0.004600, 0.000000
0.004700, 0.000000
0.004800, 0.000000
0.004900, 0.000000
0.005000, 0.000000
0.005100, 0.000000
0.005200, 0.000000
0.005300, 0.000000
0.005400, 0.000000
0.005500, 0.000000
0.005600, 0.000001
0.005700, 0.000001
0.005800, 0.000002
0.005900, 0.000002
0.006000, 0.000004
0.006100, 0.000005
0.006200, 0.000008
0.006300, 0.000012
0.006400, 0.000017
0.006500, 0.000024
0.006600, 0.000033
0.006700, 0.000047
0.006800, 0.000065
0.006900, 0.000088
0.007000, 0.000120
0.007100, 0.000161
0.007200, 0.000214
0.007300, 0.000282
0.007400, 0.000368
0.007500, 0.000475
0.007600, 0.000607
0.007700, 0.000767
0.007800, 0.000961
0.007900, 0.001191
0.008000, 0.001462
0.008100, 0.001777
0.008200, 0.002138
0.008300, 0.002547
0.008400, 0.003004
0.008500, 0.003508
0.008600, 0.004055
0.008700, 0.004641
0.008800, 0.005259
0.008900, 0.005900
0.009000, 0.006553
0.009100, 0.007207
0.009200, 0.007846
0.009300, 0.008457
0.009400, 0.009025
0.009500, 0.009535
0.009600, 0.009974
0.009700, 0.010329
0.009800, 0.010591
0.009900, 0.010751
0.010000, 0.010805
0.010100, 0.010751
0.010200, 0.010591
0.010300, 0.010329
0.010400, 0.009974
0.010500, 0.009535
0.010600, 0.009025
0.010700, 0.008457
0.010800, 0.007846
0.010900, 0.007207
0.011000, 0.006553
0.011100, 0.005900
0.011200, 0.005259
0.011300, 0.004641
0.011400, 0.004055
0.011500, 0.003508
0.011600, 0.003004
0.011700, 0.002547
0.011800, 0.002138
0.011900, 0.001777
0.012000, 0.001462
0.012100, 0.001191
0.012200, 0.000961
0.012300, 0.000767
0.012400, 0.000607
0.012500, 0.000475
0.012600, 0.000368
0.012700, 0.000282
0.012800, 0.000214
0.012900, 0.000161
0.013000, 0.000120
0.013100, 0.000088
0.013200, 0.000065
0.013300, 0.000047
0.013400, 0.000033
0.013500, 0.000024
0.013600, 0.000017
0.013700, 0.000012
0.013800, 0.000008
0.013900, 0.000005
0.014000, 0.000004
0.014100, 0.000002
0.014200, 0.000002
0.014300, 0.000001
0.014400, 0.000001
0.014500, 0.000000
0.014600, 0.000000
0.014700, 0.000000
0.014800, 0.000000
0.014900, 0.000000
0.015000, 0.000000
0.015100, 0.000000
0.015200, 0.000000
0.015300, 0.000001
0.015400, 0.000001
0.015500, 0.000001
0.015600, 0.000002
0.015700, 0.000003
0.015800, 0.000005
0.015900, 0.000007
0.016000, 0.000011
0.016100, 0.000016
0.016200, 0.000023
0.016300, 0.000034
0.016400, 0.000048
0.016500, 0.000069
0.016600, 0.000098
0.016700, 0.000136
0.016800, 0.000189
0.016900, 0.000259
0.017000, 0.000351
0.017100, 0.000471
0.017200, 0.000626
0.017300, 0.000825
0.017400, 0.001075
0.017500, 0.001387
0.017600, 0.001772
0.017700, 0.002242
0.017800, 0.002808
0.017900, 0.003481
0.018000, 0.004273
0.018100, 0.005193
0.018200, 0.006248
0.018300, 0.007443
0.018400, 0.008779
0.018500, 0.010251
0.018600, 0.011850
0.018700, 0.013563
0.018800, 0.015369
0.018900, 0.017242
0.019000, 0.019151
0.019100, 0.021059
0.019200, 0.022927
0.019300, 0.024713
0.019400, 0.026373
0.019500, 0.027864
0.019600, 0.029146
0.019700, 0.030185
0.019800, 0.030949
